"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0104876"|"110000599807"|"ORGANIC CHEMICALCORPORATION"|"2MI NW OF INTX STHWY 361 &  ST"|"INGLESIDE"|"1338470"|"TX"|"78362"|27.864444|-97.269722|""
"TX0104884"|"110010131106"|"CITY OF BIG WELLS WWTF"|"2000FT W FM 1867 AND 2000FT S US HWY 85"|"BIG WELLS"|"1352178"|"TX"|"78830"|28.567528|-99.583917|""
"TX0104906"|"110039184824"|"UNKNOWN"|"UNKNOWN"|""|"1356774"|"TX"|""|32.391667|-94.577222|""
"TX0104922"|"110039184842"|"CITY OF WINDTHORST"|"1600' W USHWY 281 AND 1MI N INTX US HWY 281"|"WINDTHORST"|"1371789"|"TX"|"763890128"|33.589722|-98.442778|""
"TX0104957"|"110013349894"|"DENTON CREEK REGIONAL WWTF"|"1687 US HWY 377"|"ROANOKE"|"1383847"|"TX"|"76262"|33.064167|-97.176111|""
"TX0104965"|"110009774306"|"HARRIS COUNTY MUD 344 WWTP"|"2500' E OF BELTWAY 8"|"HOUSTON"|"1380948"|"TX"|"77041"|29.921389|-95.199444|""
"TX0104990"|"110009774315"|"ELSA WWTP"|"0.5MI SW INTS FM 1925 AND ST HWY 88"|"ELSA"|"1335417"|"TX"|"78543"|26.303611|-97.998333|""
"TX0105015"|"110009747569"|"CITY OF KOSSE WWTP"|"150' SE INTX JACKSON AND TULIP ST"|"KOSSE"|"1360753"|"TX"|"76653"|31.305|-96.541111|""
"TX0105031"|"110009773986"|"LAKE LIVINGSTON VILLAGE WWTP"|"4000' SE INTX USHWY 190 AND FM 3126"|"LIVINGSTON"|"1383972"|"TX"|"77351"|30.728889|-95.045556|""
"TX0105058"|"110005169593"|"CITY OF HOUSTON"|"3800F S IH 45 AND CALHOUN RD"|"HOUSTON"|"1380948"|"TX"|"77087"|29.701944|-95.265|"4"
"TX0105066"|"110010124301"|"CITY OF LINDALE SOUTHSIDE WWTP"|"0.9MI W INTX IH 20 & COUNTY RD"|"LINDALE"|"1339958"|"TX"|"75771"|32.465833|-95.402778|""
"TX0105091"|"110009773995"|"BEACH CREEK WWTP"|"7000' SE FMR 125 & USHWY 59"|"LINDEN"|"1374534"|"TX"|"755630000"|32.988611|-94.373333|""
"TX0105104"|"110009774002"|"LA WARD WWTF"|"SAM HOUSTON AVE, 200FT NE"|"LA WARD"|"1360808"|"TX"|"77970"|28.844444|-96.376944|""
"TX0105155"|"110009774011"|"ACTON MUD- PECAN PLANTATION"|"N BRAZOS RIVER,13.5M DE CORDOVA BEND"|"GRANBURY"|"1383896"|"TX"|"76049"|32.358056|-97.684722|""
"TX0105163"|"110010131071"|"DECORDOVA BEND ESTATES WWTP"|"W BANK OF MCCARTY BR 2.6 M S US HWY 377"|"GRANBURY"|"1336797"|"TX"|"76049"|32.436389|-97.695833|""
"TX0105171"|"110000751918"|"SOUTHSIDE WWTF"|"5000 FT W USHWY 271"|"MOUNT PLEASANT"|"1342094"|"TX"|"75456"|33.104194|-94.950028|"4"
